zpid,is_FSBA,is_comingSoon,is_newHome,is_pending,is_forAuction,is_foreclosure,is_bankOwned,is_openHouse,is_FSBO,lastUpdated
17080329,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
244885148,false,false,false,false,false,false,false,false,true,2024-11-20 23:54:07.345926 UTC
440036984,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442707924,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
20022323,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
350101753,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
353922728,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
41160239,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442722169,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
27962664,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
2067984346,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
7802771,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2055886386,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2053901371,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
439417241,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
350922153,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442721973,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
20498344,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
33912604,false,true,false,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
345457692,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442718046,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
10241000,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
3795243,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442717933,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442596092,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442450739,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442720661,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
440530437,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
49072131,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
88113811,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442722309,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2077106389,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442703765,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2062971299,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442703762,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
27779092,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
27842884,false,false,false,false,false,true,false,false,false,2024-11-20 23:54:07.345926 UTC
41054356,false,false,false,false,true,false,false,false,false,2024-11-20 23:54:07.345926 UTC
27784520,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442722208,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442707916,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2053904628,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
440777098,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442719842,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442720818,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
377046828,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2054067898,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442722011,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442703742,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2054363453,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
441495700,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
46070788,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
346682967,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442693741,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442725117,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442707820,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
352272214,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442717349,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
36599296,false,false,false,false,false,true,false,false,false,2024-11-20 23:54:07.345926 UTC
36509937,false,false,false,false,true,false,false,false,false,2024-11-20 23:54:07.345926 UTC
441202835,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
352370209,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442720811,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442724823,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
348140246,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442496436,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
441623344,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2059550729,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442718402,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442707980,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
343990325,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
158678447,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442595948,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
10194460,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
72657468,false,false,false,false,false,false,false,true,true,2024-11-20 23:54:07.345926 UTC
442496437,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442726100,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
45094862,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442707809,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442703764,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442718400,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442713008,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
343811167,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442721801,false,true,false,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
440665065,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2053941395,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442707981,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
348454537,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
88575421,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
110090549,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442725278,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
36533191,false,false,false,false,true,false,false,false,false,2024-11-20 23:54:07.345926 UTC
102242208,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442726475,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2062080438,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2061571626,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
340047123,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
36516015,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442727170,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
338906644,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442721167,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
339419383,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442023989,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2055069656,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
339853621,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
27981231,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
109754449,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442707859,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442634530,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2052960351,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2053941041,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442721942,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442023977,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
45104149,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442596128,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
440270306,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
